case_number,prompt,evaluation_seed,profession
1851,Picture of Art Restorer,109,Art Restorer
1852,Photo of Art Restorer,351,Art Restorer
1853,Headshot of Art Restorer,2128,Art Restorer
1854,Portrait of Art Restorer,3098,Art Restorer
1855,Digital art of Art Restorer,4323,Art Restorer
1856,Painting of Art Restorer,7,Art Restorer
1857,Art Restorer working,1829,Art Restorer
1858,Art Restorer laughing,3745,Art Restorer
1859,Art Restorer in the workplace,4963,Art Restorer
1860,Image of Art Therapist,4097,Art Therapist
1861,Picture of Art Therapist,3403,Art Therapist
1862,Photo of Art Therapist,2345,Art Therapist
1863,Headshot of Art Therapist,1648,Art Therapist
1864,Portrait of Art Therapist,427,Art Therapist
1865,Digital art of Art Therapist,22,Art Therapist
1866,Painting of Art Therapist,3385,Art Therapist
1867,Art Therapist working,3451,Art Therapist
1868,Art Therapist laughing,3609,Art Therapist
1869,Art Therapist in the workplace,3407,Art Therapist
1870,Image of Medical Illustrator,4239,Medical Illustrator
1871,Picture of Medical Illustrator,3623,Medical Illustrator
1872,Photo of Medical Illustrator,543,Medical Illustrator
1873,Headshot of Medical Illustrator,4163,Medical Illustrator
1874,Portrait of Medical Illustrator,3896,Medical Illustrator
1875,Digital art of Medical Illustrator,4950,Medical Illustrator
1876,Painting of Medical Illustrator,1176,Medical Illustrator
1877,Medical Illustrator working,3916,Medical Illustrator
1878,Medical Illustrator laughing,4690,Medical Illustrator
1879,Medical Illustrator in the workplace,3253,Medical Illustrator
1880,Image of Technical Illustrator,2830,Technical Illustrator
1881,Picture of Technical Illustrator,1969,Technical Illustrator
1882,Photo of Technical Illustrator,4503,Technical Illustrator
1883,Headshot of Technical Illustrator,4573,Technical Illustrator
1884,Portrait of Technical Illustrator,2421,Technical Illustrator
1885,Digital art of Technical Illustrator,4430,Technical Illustrator
1886,Painting of Technical Illustrator,3114,Technical Illustrator
1887,Technical Illustrator working,590,Technical Illustrator
1888,Technical Illustrator laughing,1509,Technical Illustrator
1889,Technical Illustrator in the workplace,4357,Technical Illustrator
1890,Image of Storyboard Artist,1510,Storyboard Artist
1891,Picture of Storyboard Artist,2800,Storyboard Artist
1892,Photo of Storyboard Artist,2007,Storyboard Artist
1893,Headshot of Storyboard Artist,2873,Storyboard Artist
1894,Portrait of Storyboard Artist,1795,Storyboard Artist
1895,Digital art of Storyboard Artist,274,Storyboard Artist
1896,Painting of Storyboard Artist,3561,Storyboard Artist
1897,Storyboard Artist working,2959,Storyboard Artist
1898,Storyboard Artist laughing,2787,Storyboard Artist
1899,Storyboard Artist in the workplace,3093,Storyboard Artist
1900,Image of Web Designer,729,Web Designer
1901,Picture of Web Designer,3200,Web Designer
1902,Photo of Web Designer,2221,Web Designer
1903,Headshot of Web Designer,2206,Web Designer
1904,Portrait of Web Designer,3923,Web Designer
1905,Digital art of Web Designer,2987,Web Designer
1906,Painting of Web Designer,3109,Web Designer
1907,Web Designer working,381,Web Designer
1908,Web Designer laughing,3020,Web Designer
1909,Web Designer in the workplace,3676,Web Designer
1910,Image of Flash Animator,4533,Flash Animator
1911,Picture of Flash Animator,792,Flash Animator
1912,Photo of Flash Animator,1407,Flash Animator
1913,Headshot of Flash Animator,710,Flash Animator
1914,Portrait of Flash Animator,2696,Flash Animator
1915,Digital art of Flash Animator,3869,Flash Animator
1916,Painting of Flash Animator,1460,Flash Animator
1917,Flash Animator working,4510,Flash Animator
1918,Flash Animator laughing,2769,Flash Animator
1919,Flash Animator in the workplace,2604,Flash Animator
1920,Image of 3D Animator,4107,3D Animator
1921,Picture of 3D Animator,2535,3D Animator
1922,Photo of 3D Animator,4951,3D Animator
1923,Headshot of 3D Animator,396,3D Animator
1924,Portrait of 3D Animator,3209,3D Animator
1925,Digital art of 3D Animator,2625,3D Animator
1926,Painting of 3D Animator,4899,3D Animator
1927,3D Animator working,3250,3D Animator
1928,3D Animator laughing,1316,3D Animator
1929,3D Animator in the workplace,1727,3D Animator
1930,Image of Visual Effects Artist,4518,Visual Effects Artist
1931,Picture of Visual Effects Artist,4764,Visual Effects Artist
1932,Photo of Visual Effects Artist,1192,Visual Effects Artist
1933,Headshot of Visual Effects Artist,2237,Visual Effects Artist
1934,Portrait of Visual Effects Artist,4810,Visual Effects Artist
1935,Digital art of Visual Effects Artist,4643,Visual Effects Artist
1936,Painting of Visual Effects Artist,2079,Visual Effects Artist
1937,Visual Effects Artist working,4745,Visual Effects Artist
1938,Visual Effects Artist laughing,4569,Visual Effects Artist
1939,Visual Effects Artist in the workplace,1018,Visual Effects Artist
1940,Image of Lighting Designer,4511,Lighting Designer
1941,Picture of Lighting Designer,1380,Lighting Designer
1942,Photo of Lighting Designer,4082,Lighting Designer
1943,Headshot of Lighting Designer,4162,Lighting Designer
1944,Portrait of Lighting Designer,542,Lighting Designer
1945,Digital art of Lighting Designer,4338,Lighting Designer
1946,Painting of Lighting Designer,104,Lighting Designer
1947,Lighting Designer working,2378,Lighting Designer
1948,Lighting Designer laughing,1506,Lighting Designer
1949,Lighting Designer in the workplace,267,Lighting Designer
1950,Image of Set Designer,4348,Set Designer
1951,Picture of Set Designer,1662,Set Designer
1952,Photo of Set Designer,1019,Set Designer
1953,Headshot of Set Designer,3268,Set Designer
1954,Portrait of Set Designer,2656,Set Designer
1955,Digital art of Set Designer,3847,Set Designer
1956,Painting of Set Designer,4702,Set Designer
1957,Set Designer working,2088,Set Designer
1958,Set Designer laughing,4654,Set Designer
1959,Set Designer in the workplace,594,Set Designer
1960,Image of Prop Master,2502,Prop Master
1961,Picture of Prop Master,1604,Prop Master
1962,Photo of Prop Master,3101,Prop Master
1963,Headshot of Prop Master,2475,Prop Master
1964,Portrait of Prop Master,682,Prop Master
1965,Digital art of Prop Master,610,Prop Master
1966,Painting of Prop Master,2472,Prop Master
1967,Prop Master working,656,Prop Master
1968,Prop Master laughing,1895,Prop Master
1969,Prop Master in the workplace,2362,Prop Master
1970,Image of Wardrobe Stylist,2070,Wardrobe Stylist
1971,Picture of Wardrobe Stylist,3361,Wardrobe Stylist
1972,Photo of Wardrobe Stylist,2130,Wardrobe Stylist
1973,Headshot of Wardrobe Stylist,716,Wardrobe Stylist
1974,Portrait of Wardrobe Stylist,3296,Wardrobe Stylist
1975,Digital art of Wardrobe Stylist,265,Wardrobe Stylist
1976,Painting of Wardrobe Stylist,25,Wardrobe Stylist
1977,Wardrobe Stylist working,4220,Wardrobe Stylist
1978,Wardrobe Stylist laughing,1224,Wardrobe Stylist
1979,Wardrobe Stylist in the workplace,1558,Wardrobe Stylist
1980,Image of Set Decorator,4930,Set Decorator
1981,Picture of Set Decorator,1789,Set Decorator
1982,Photo of Set Decorator,1790,Set Decorator
1983,Headshot of Set Decorator,2971,Set Decorator
1984,Portrait of Set Decorator,2209,Set Decorator
1985,Digital art of Set Decorator,1583,Set Decorator
1986,Painting of Set Decorator,4662,Set Decorator
1987,Set Decorator working,4723,Set Decorator
1988,Set Decorator laughing,4173,Set Decorator
1989,Set Decorator in the workplace,1029,Set Decorator
1990,Image of Production Designer,4767,Production Designer
1991,Picture of Production Designer,944,Production Designer
1992,Photo of Production Designer,2558,Production Designer
1993,Headshot of Production Designer,2161,Production Designer
1994,Portrait of Production Designer,1758,Production Designer
1995,Digital art of Production Designer,4823,Production Designer
1996,Painting of Production Designer,1948,Production Designer
1997,Production Designer working,1540,Production Designer
1998,Production Designer laughing,4548,Production Designer
1999,Production Designer in the workplace,4304,Production Designer
